               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.034667,            0.033005,                   0,             0.91648,             0.89189,             0.92847,             0.50995,            0.036087,           0.0083123,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.033807,            0.032085,                   0,             0.91767,             0.83784,             0.89871,             0.48634,            0.040585,           0.0083683,                   0,            0.008746,            0.008746,            0.008746
                  40,             0.03452,            0.031497,                   0,             0.87577,             0.68919,             0.79178,             0.39987,             0.04591,            0.010797,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.033383,            0.031451,                   0,             0.89773,             0.83108,             0.90039,              0.4802,             0.03644,           0.0081031,                   0,             0.00868,             0.00868,             0.00868
                  42,             0.03304,            0.030663,                   0,             0.87803,             0.82688,             0.87191,             0.45738,             0.03897,            0.008314,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.032417,            0.030353,                   0,             0.89997,             0.85135,             0.89699,             0.49944,            0.035464,           0.0084866,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.031884,            0.030739,                   0,             0.92098,             0.77703,             0.86551,             0.47025,            0.039362,           0.0088764,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.033001,            0.029885,                   0,             0.90643,             0.86486,             0.89933,             0.49907,            0.036898,           0.0084203,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.032373,            0.031386,                   0,             0.84469,             0.85135,             0.87693,             0.45559,             0.04014,           0.0085657,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.032335,            0.030231,                   0,             0.87372,             0.84149,             0.87496,             0.42497,            0.037246,           0.0086919,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.031736,            0.030341,                   0,             0.90591,             0.78065,             0.84868,             0.41778,            0.041587,             0.01028,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.030756,            0.029358,                   0,             0.88621,             0.83784,             0.88578,             0.47802,            0.038741,           0.0088929,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.031159,            0.029115,                   0,             0.88163,             0.80405,             0.85138,             0.40516,            0.044391,            0.010296,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.031477,             0.02887,                   0,             0.91144,             0.85811,             0.90066,             0.47747,            0.037318,           0.0086609,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.030854,            0.030073,                   0,             0.86274,             0.84936,             0.87301,             0.45278,            0.041294,           0.0085548,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.030005,            0.028748,                   0,             0.91214,             0.85811,             0.91135,             0.50602,            0.036766,           0.0091188,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.030752,            0.029353,                   0,             0.89913,             0.85811,             0.89696,              0.4767,            0.038326,            0.009469,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.030151,            0.028983,                   0,             0.89282,             0.85811,             0.90461,             0.46429,            0.039124,           0.0092696,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.030613,            0.028237,                   0,             0.90778,             0.84459,             0.90406,             0.49516,            0.037202,           0.0085896,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.029542,            0.029444,                   0,             0.90801,             0.86706,             0.90581,             0.48962,            0.035521,           0.0085984,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.029375,            0.028434,                   0,             0.94683,             0.84224,             0.91614,             0.52583,            0.035717,           0.0090722,                   0,            0.008119,            0.008119,            0.008119
                  59,             0.02885,            0.027331,                   0,             0.93789,             0.81626,             0.89817,             0.49962,            0.035833,           0.0090516,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.029303,            0.028184,                   0,             0.87752,             0.77458,             0.85117,             0.43162,            0.041729,           0.0095607,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.028947,            0.027617,                   0,             0.92508,             0.86486,             0.91342,             0.50751,            0.036574,           0.0083215,                   0,             0.00802,             0.00802,             0.00802
                  62,              0.0283,            0.027568,                   0,             0.88839,             0.86053,             0.91177,             0.49357,            0.036863,           0.0088161,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.028399,             0.02794,                   0,             0.91397,             0.86139,             0.91792,             0.49892,            0.035269,            0.008523,                   0,            0.007954,            0.007954,            0.007954
                  64,             0.02896,            0.026851,                   0,             0.91272,             0.84787,             0.90363,             0.47551,            0.038137,           0.0085703,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.028363,            0.027941,                   0,             0.89786,             0.85135,             0.89573,             0.49181,            0.037174,           0.0093324,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.028099,            0.026684,                   0,             0.92841,             0.87623,              0.9097,             0.48473,            0.037222,            0.008647,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.028118,            0.027197,                   0,             0.88119,             0.83784,             0.87893,              0.4365,            0.041713,           0.0090727,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.027153,            0.027752,                   0,             0.93906,             0.85811,             0.91547,             0.49806,            0.036177,           0.0089858,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.028196,            0.027574,                   0,             0.93368,              0.8561,             0.91816,             0.48494,            0.036358,           0.0093935,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.026164,            0.026266,                   0,             0.90092,             0.83784,             0.89449,             0.47784,            0.037667,           0.0093913,                   0,            0.007723,            0.007723,            0.007723
                  71,             0.02667,            0.027864,                   0,             0.89906,              0.7824,             0.86216,              0.4508,            0.040217,            0.010049,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.026625,            0.026709,                   0,             0.89257,             0.85811,              0.8802,             0.47249,            0.038341,           0.0089455,                   0,            0.007657,            0.007657,            0.007657
                  73,             0.02686,            0.026491,                   0,             0.86626,             0.87162,             0.90154,             0.48745,            0.037683,           0.0091228,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.026416,            0.026762,                   0,             0.92753,             0.85811,             0.90569,             0.49663,            0.038685,           0.0084577,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.026319,            0.025759,                   0,             0.86088,             0.83621,             0.87459,             0.48724,            0.037429,            0.010468,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.026225,            0.025423,                   0,             0.84599,             0.85368,             0.87449,             0.46927,            0.040061,           0.0091506,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.025592,            0.026134,                   0,             0.93537,             0.85811,             0.90163,             0.49211,            0.036713,           0.0091265,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.026186,            0.026264,                   0,             0.90407,             0.82781,             0.88622,             0.50338,            0.037582,           0.0088734,                   0,            0.007459,            0.007459,            0.007459
                  79,             0.02618,            0.025762,                   0,             0.92157,             0.87838,             0.90013,             0.49641,            0.037197,           0.0091649,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.025602,            0.025657,                   0,             0.91391,             0.87162,             0.90036,              0.4977,            0.037539,           0.0094684,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.025346,            0.025644,                   0,             0.94045,             0.85811,             0.89765,             0.48493,            0.036954,           0.0099437,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.025426,            0.025883,                   0,             0.91608,             0.85135,             0.88766,             0.48468,            0.037954,           0.0097475,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.025409,            0.025738,                   0,             0.91716,             0.89865,             0.91487,             0.49445,            0.036319,           0.0089251,                   0,            0.007294,            0.007294,            0.007294
